Provider_ID,Name,Type,Address,City,Contact,Receiver_ID,Food_ID,Food_Name,Quantity,Expiry_Date,Provider_Type,Location,Food_Type,Meal_Type,Claim_ID,Status,Timestamp
1.0,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,600-220-0480,,,,,,,,,,,,
2.0,"Nielsen, Johnson and Fuller",Grocery Store,"91228 Hanson Stream
Welchtown, OR 27136",East Sheena,838-901-6297,,,,,,,,,,,,
3.0,Miller-Black,Supermarket,"561 Martinez Point Suite 507
Guzmanchester, WA 94320",Lake Jesusview,517-295-2206,,,,,,,,,,,,
4.0,"Clark, Prince and Williams",Grocery Store,"467 Bell Trail Suite 409
Port Jesus, IA 61188",Mendezmouth,944-893-5401,,,,,,,,,,,,
5.0,Coleman-Farley,Grocery Store,"078 Matthew Creek Apt. 319
Saraborough, MA 53978",Valentineside,193-714-6577,,,,,,,,,,,,
6.0,Lawson-Walters,Grocery Store,"1889 Barnes Gateway
Adamview, ID 87971",Shannonside,060-746-0544,,,,,,,,,,,,
7.0,Ortiz-Lee,Restaurant,"1842 Villarreal Shores
Williamfort, CT 44529",Lake Christopherburgh,563-889-7190,,,,,,,,,,,,
8.0,Curtis-Lewis,Supermarket,"4770 Miller Light Suite 260
New Charlesville, AR 97075",Washingtonville,278-120-3301,,,,,,,,,,,,
9.0,Nguyen Inc,Supermarket,"169 Scott Keys Suite 000
East Michelle, HI 57025",Tinamouth,609-260-9844,,,,,,,,,,,,
10.0,"Hall, Nguyen and Martinez",Catering Service,"71458 Mark Field Apt. 252
North Alexland, TX 02693",West Cherylfort,924-804-0566,,,,,,,,,,,,
11.0,"Flores, Jackson and Ford",Supermarket,"0663 Paul Field
South Haileyshire, AL 19652",South Robert,276-527-4329,,,,,,,,,,,,
12.0,Miller Ltd,Supermarket,"508 White Mission Apt. 893
Bryantborough, WV 79111",East Williamburgh,909-021-4559,,,,,,,,,,,,
13.0,"Parker, Flores and Jennings",Restaurant,"117 Jasmine Isle Apt. 604
South Ryanville, MN 41933",Nicolefort,516-626-8840,,,,,,,,,,,,
14.0,Nguyen-Tran,Catering Service,"65833 Anthony Ridges
Williamsmouth, IA 42157",Garciamouth,945-576-2932,,,,,,,,,,,,
15.0,Valdez-Diaz,Grocery Store,"03142 Jones Trail Suite 601
Walkerton, AL 61502",West Theresaberg,046-544-9977,,,,,,,,,,,,
16.0,Brown and Sons,Catering Service,"1745 Chan Ridges
Ginaville, OK 07163",West Vanessafort,105-501-6593,,,,,,,,,,,,
17.0,Miller Ltd,Catering Service,"355 Rogers Ferry Suite 116
East Stevenburgh, MD 93961",West Dawn,798-619-3433,,,,,,,,,,,,
18.0,Edwards-Turner,Restaurant,"277 Ashley Wall Suite 063
Kimberlyshire, SC 60998",Cassandraville,668-894-2826,,,,,,,,,,,,
19.0,Davis Ltd,Supermarket,"USCGC Taylor
FPO AA 68109",South Melanieshire,249-394-3533,,,,,,,,,,,,
20.0,Drake-Martinez,Catering Service,"22920 Carpenter Turnpike Apt. 652
New Steven, AR 33177",East Samantha,123-510-6135,,,,,,,,,,,,
21.0,Cross Group,Grocery Store,"802 Daniel Highway
Lake Sabrinamouth, DE 52427",Port Corystad,899-040-1296,,,,,,,,,,,,
22.0,Miller-Carter,Catering Service,"44329 Hendrix Land
Port Christine, AL 43242",Port Lisamouth,868-016-4774,,,,,,,,,,,,
23.0,Johnson Ltd,Supermarket,"32366 Kathy Fall
Rodriguezton, NH 27984",Bradleyborough,091-396-4499,,,,,,,,,,,,
24.0,"Black, Collins and Richard",Supermarket,"643 Galvan Burgs
Fletcherhaven, AZ 86988",Hestermouth,096-640-8185,,,,,,,,,,,,
25.0,Gutierrez-Palmer,Grocery Store,"019 Avila Station
Lake Dennisborough, AZ 84988",Anitashire,927-832-2085,,,,,,,,,,,,
26.0,Hansen Inc,Grocery Store,"9402 Corey Avenue
Jamesland, AL 54220",West Adammouth,464-311-2342,,,,,,,,,,,,
27.0,Lester Inc,Supermarket,"3187 Brittany Overpass Suite 160
Lake Elizabeth, CO 63236",New Natasha,315-899-7076,,,,,,,,,,,,
28.0,Wright Ltd,Restaurant,"69921 Sullivan Manor Apt. 996
Russellport, ME 99724",Jessestad,850-175-4730,,,,,,,,,,,,
29.0,Andrews-Wiley,Grocery Store,"37741 Edward Green Apt. 840
Whiteport, WY 68558",Patrickmouth,460-130-8444,,,,,,,,,,,,
30.0,Rodriguez PLC,Catering Service,"88798 Dustin Lane Suite 892
Port Jessicaville, KY 16461",West Pamelaborough,080-491-8858,,,,,,,,,,,,
31.0,Thompson-Kerr,Grocery Store,"123 Barber Divide
New Stephanie, KY 35738",South Kellyberg,786-641-7043,,,,,,,,,,,,
32.0,Lawrence PLC,Catering Service,"35759 Baker Center
East Allisonville, WA 47206",Jameschester,401-127-4461,,,,,,,,,,,,
33.0,"Miranda, Wilcox and Short",Restaurant,"208 Williams Fields Suite 324
New Robert, MN 13700",Janetborough,711-136-4426,,,,,,,,,,,,
34.0,"Cooper, Smith and King",Grocery Store,"439 Barnes Courts Apt. 349
South Gregory, MO 73315",North Garybury,307-046-1726,,,,,,,,,,,,
35.0,Nguyen-Parsons,Grocery Store,"23683 Paul Groves Suite 174
Vegaville, IA 58578",Andersonmouth,638-668-6852,,,,,,,,,,,,
36.0,Powell Inc,Restaurant,"7278 Jesse Fall
Mitchellfort, SD 79576",Cindyshire,668-319-5716,,,,,,,,,,,,
37.0,Phelps-Schmidt,Catering Service,"689 Riley Villages
South Jose, LA 55827",New Amanda,048-886-1039,,,,,,,,,,,,
38.0,Lawrence LLC,Supermarket,"USNS Decker
FPO AE 46703",Perkinsbury,580-888-5964,,,,,,,,,,,,
39.0,Fernandez-Bridges,Supermarket,"77717 Amanda Plains Apt. 231
Danielberg, CA 13392",Brittanyville,175-027-7076,,,,,,,,,,,,
40.0,Robinson PLC,Restaurant,"59437 Schneider Villages Suite 050
South Derek, NM 07539",Jennifertown,925-882-9055,,,,,,,,,,,,
41.0,Kelly-Ware,Catering Service,"482 Bush Island
Wrightburgh, MI 64397",Bentleyburgh,969-744-5782,,,,,,,,,,,,
42.0,Austin-Yu,Grocery Store,"482 Lisa Viaduct
Shirleyberg, IL 95427",East Nicholasbury,806-669-4428,,,,,,,,,,,,
43.0,"Martinez, Johnson and Torres",Supermarket,"66956 Carter Lakes Apt. 029
New Matthewview, OK 90573",South Karen,250-919-8579,,,,,,,,,,,,
44.0,Torres-Perez,Supermarket,"9114 Becky Junctions
Hillhaven, WV 14750",Jamesville,004-780-3197,,,,,,,,,,,,
45.0,"Butler, Kennedy and Cowan",Catering Service,"Unit 7100 Box 9890
DPO AP 52163",East Deniseborough,367-607-2290,,,,,,,,,,,,
46.0,"Fisher, Hernandez and Webster",Grocery Store,"8490 Valdez Ports Suite 007
Port Jeremy, NV 85800",South Lisaberg,183-979-9626,,,,,,,,,,,,
47.0,Wong-Reese,Supermarket,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,,,,,,,,,,,,
48.0,Conway-Barr,Restaurant,"597 Contreras Roads
South Hannah, RI 04553",Timothyview,339-516-2911,,,,,,,,,,,,
49.0,"Miller, Braun and Graham",Supermarket,"USS Roberts
FPO AE 04254",Lake Traceyburgh,015-818-1702,,,,,,,,,,,,
50.0,Perez-Williams,Catering Service,"956 Joseph Ford Apt. 098
Moorestad, LA 74730",West Danielborough,021-919-1055,,,,,,,,,,,,
51.0,Shaw Inc,Restaurant,"163 Kenneth Lake
Gentrystad, IN 23606",Rebeccabury,705-901-1779,,,,,,,,,,,,
52.0,Buck-Carey,Supermarket,"3155 Strickland Lakes
Nelsonview, MN 90401",Port Dianaberg,836-195-8525,,,,,,,,,,,,
53.0,Wolfe and Sons,Supermarket,"5146 Robbins Spring
Danielshire, NY 94988",Lake Allen,914-372-3273,,,,,,,,,,,,
54.0,"Bennett, Phillips and Green",Supermarket,"Unit 0882 Box 8764
DPO AE 00627",Lake Rachael,580-038-2854,,,,,,,,,,,,
55.0,Wilson-Brown,Grocery Store,"220 Rachel Trace
Port Mark, AK 17083",Danachester,636-196-2386,,,,,,,,,,,,
56.0,Morris Ltd,Catering Service,"03207 Paul Shoals
Thomasshire, AR 89205",Michaelview,751-253-1515,,,,,,,,,,,,
57.0,Cook Group,Grocery Store,"6432 Guzman Estates
Lake Rebeccaborough, CA 35184",Port Robin,983-295-7995,,,,,,,,,,,,
58.0,"Martin, Tyler and Wilkerson",Grocery Store,"334 Bishop Fort Suite 958
Port Jorge, NM 10652",North Kevinhaven,959-331-7852,,,,,,,,,,,,
59.0,"Warner, White and Morris",Grocery Store,"92097 Simmons Cape
Arthurchester, AL 44273",Marissaville,947-280-2490,,,,,,,,,,,,
60.0,Parker-Campbell,Restaurant,"USNS Williams
FPO AE 15960",Wilsonport,958-882-9497,,,,,,,,,,,,
61.0,"Arnold, Russo and Foster",Supermarket,"PSC 8521, Box 0417
APO AP 22766",Lake Joelshire,649-426-4690,,,,,,,,,,,,
62.0,"Mitchell, Campbell and Jones",Grocery Store,"760 Hall Dam
Jenniferstad, MI 28752",Marymouth,024-156-0512,,,,,,,,,,,,
63.0,"Fuller, Vincent and Fernandez",Supermarket,"Unit 8327 Box 2560
DPO AP 34781",Mcclainfurt,268-645-8829,,,,,,,,,,,,
64.0,Mullen LLC,Supermarket,"373 Moody Manor
Johnfurt, CT 63966",South Michaelhaven,811-584-0300,,,,,,,,,,,,
65.0,Fletcher Inc,Grocery Store,"5294 William Underpass
North Angelaborough, TN 26906",Lake Raymondton,445-003-6513,,,,,,,,,,,,
66.0,Lambert-Wilson,Restaurant,"2162 Johnson Field
East Caroline, AZ 13953",Lake Michaelfurt,690-151-2083,,,,,,,,,,,,
67.0,Shannon Ltd,Restaurant,"8692 Adam Passage
Davidland, WI 15372",Kentland,412-366-8513,,,,,,,,,,,,
68.0,Sherman-Wolfe,Supermarket,"0312 Garcia Ferry
Port Deannaberg, DC 72769",North Elizabeth,628-168-1740,,,,,,,,,,,,
69.0,Williams PLC,Grocery Store,"Unit 6990 Box 6326
DPO AA 08563",Cummingstown,842-107-7233,,,,,,,,,,,,
70.0,"Cook, Stanley and Wallace",Supermarket,"1492 Thomas Route
East Hannah, HI 37830",Lake Kyle,416-322-9367,,,,,,,,,,,,
71.0,Jones-Edwards,Restaurant,"861 Martinez Junctions
Smithburgh, WA 68091",Ruizmouth,077-105-8283,,,,,,,,,,,,
72.0,"Ward, Shepherd and Krause",Catering Service,"224 Burns Camp
Christopherborough, VA 76601",Jasonstad,454-823-5622,,,,,,,,,,,,
73.0,Walker-Richards,Grocery Store,"082 Nancy Summit Apt. 187
Hurleychester, PA 09363",West Benjamin,862-704-7597,,,,,,,,,,,,
74.0,Johnston Ltd,Catering Service,"58406 Pamela Mission
Leestad, OH 88592",Belindaville,563-075-3213,,,,,,,,,,,,
75.0,Douglas PLC,Supermarket,"130 Lowe Cove Suite 161
South John, LA 62264",Rodneystad,765-070-1698,,,,,,,,,,,,
76.0,Clark-Estes,Restaurant,"1854 Michael Locks Suite 076
Shaneland, AZ 73210",Port Amandamouth,201-261-9146,,,,,,,,,,,,
77.0,Golden-Phillips,Catering Service,"25069 Ramirez Springs Suite 233
West Jamestown, IL 50100",New Rhonda,113-900-7657,,,,,,,,,,,,
78.0,Frazier LLC,Restaurant,"115 Danielle Oval Apt. 679
Port Jessica, AZ 21218",North Susan,588-327-0069,,,,,,,,,,,,
79.0,Holmes Inc,Restaurant,"USS Le
FPO AP 30394",West Danieltown,742-399-9900,,,,,,,,,,,,
80.0,Miller-Moore,Grocery Store,"1920 Jody Burg
Danaview, NY 16941",Lake Dennischester,347-177-6277,,,,,,,,,,,,
81.0,Harris Ltd,Grocery Store,"70117 Danielle Plaza
Bartonview, NV 38788",North Michelle,499-473-8541,,,,,,,,,,,,
82.0,Carey-Richardson,Supermarket,"352 Moore Greens Suite 745
Deborahtown, NV 83580",West Lauraborough,607-559-2529,,,,,,,,,,,,
83.0,Owens-Williams,Grocery Store,"USCGC Farrell
FPO AA 90914",West Julianburgh,090-048-7482,,,,,,,,,,,,
84.0,Atkins Group,Restaurant,"2205 Sharp Junction Suite 771
Drakefurt, KY 14437",Marthaside,969-856-3710,,,,,,,,,,,,
85.0,Larson Ltd,Catering Service,"335 Roberts Neck Apt. 867
Samanthaborough, RI 60340",Christopherstad,105-128-9954,,,,,,,,,,,,
86.0,Murphy-Boyd,Catering Service,"7105 James Overpass
Wilsonberg, NC 47111",New Michelle,962-739-9435,,,,,,,,,,,,
87.0,"Young, Townsend and Mccarthy",Grocery Store,"4577 Shannon Tunnel Suite 786
Jamesview, CT 96322",West Adam,792-810-1913,,,,,,,,,,,,
88.0,"Oliver, Williams and Rich",Restaurant,"2297 Dunlap Plains
South Shannon, MT 97282",Salastown,559-684-4064,,,,,,,,,,,,
